========= Estatisticas ========= 
Semente utilizada : 4721287
Tempo(s) Final = 602.29
Quantidade de soluçoes encontradas = 299
Quantidade de vezes em que o contrutivo foi executada: 700
Quantidade de vezes em que a BL foi executada: 700
Quantidade de vezes em que o PR foi executado: 2403
Quantidade de solucoes que o constutivo adicionou ao arquivo global: 296
Quantidade de solucoes que a BL adicionou ao arquivo global: 4128
Quantidade de solucoes que o PR adicionou ao arquivo global: 36458
Quantidade de avaliacoes da funcao objetivo: 5471827
Pareto aproximativo: 
12.0000000000 13787.0000000000
14.0000000000 13754.0000000000
11.0000000000 13795.0000000000
19.0000000000 13211.0000000000
18.0000000000 13221.0000000000
23.0000000000 12973.0000000000
22.0000000000 13014.0000000000
21.0000000000 13020.0000000000
27.0000000000 12838.0000000000
24.0000000000 12840.0000000000
33.0000000000 12507.0000000000
30.0000000000 12513.0000000000
204.0000000000 8148.0000000000
202.0000000000 8216.0000000000
191.0000000000 8271.0000000000
193.0000000000 8240.0000000000
161.0000000000 8704.0000000000
154.0000000000 8833.0000000000
146.0000000000 8962.0000000000
148.0000000000 8924.0000000000
133.0000000000 9229.0000000000
128.0000000000 9306.0000000000
130.0000000000 9277.0000000000
110.0000000000 9699.0000000000
106.0000000000 9850.0000000000
93.0000000000 10225.0000000000
87.0000000000 10335.0000000000
89.0000000000 10291.0000000000
88.0000000000 10308.0000000000
86.0000000000 10360.0000000000
85.0000000000 10382.0000000000
74.0000000000 10722.0000000000
78.0000000000 10624.0000000000
73.0000000000 10754.0000000000
75.0000000000 10692.0000000000
69.0000000000 10883.0000000000
68.0000000000 10916.0000000000
65.0000000000 11100.0000000000
64.0000000000 11122.0000000000
58.0000000000 11272.0000000000
61.0000000000 11165.0000000000
62.0000000000 11135.0000000000
55.0000000000 11419.0000000000
54.0000000000 11459.0000000000
49.0000000000 11629.0000000000
48.0000000000 11661.0000000000
46.0000000000 11775.0000000000
45.0000000000 11789.0000000000
44.0000000000 11834.0000000000
41.0000000000 12007.0000000000
40.0000000000 12047.0000000000
39.0000000000 12084.0000000000
38.0000000000 12115.0000000000
37.0000000000 12163.0000000000
36.0000000000 12210.0000000000
42.0000000000 11923.0000000000
47.0000000000 11703.0000000000
50.0000000000 11579.0000000000
59.0000000000 11224.0000000000
60.0000000000 11187.0000000000
66.0000000000 10982.0000000000
71.0000000000 10817.0000000000
83.0000000000 10439.0000000000
84.0000000000 10409.0000000000
90.0000000000 10235.0000000000
103.0000000000 9877.0000000000
108.0000000000 9747.0000000000
109.0000000000 9722.0000000000
111.0000000000 9682.0000000000
112.0000000000 9650.0000000000
114.0000000000 9603.0000000000
117.0000000000 9534.0000000000
120.0000000000 9468.0000000000
125.0000000000 9363.0000000000
131.0000000000 9243.0000000000
144.0000000000 8996.0000000000
150.0000000000 8888.0000000000
158.0000000000 8752.0000000000
160.0000000000 8719.0000000000
164.0000000000 8655.0000000000
173.0000000000 8549.0000000000
170.0000000000 8562.0000000000
183.0000000000 8371.0000000000
188.0000000000 8304.0000000000
192.0000000000 8252.0000000000
209.0000000000 8049.0000000000
218.0000000000 7950.0000000000
222.0000000000 7908.0000000000
225.0000000000 7877.0000000000
229.0000000000 7836.0000000000
237.0000000000 7756.0000000000
240.0000000000 7727.0000000000
244.0000000000 7689.0000000000
260.0000000000 7592.0000000000
261.0000000000 7536.0000000000
266.0000000000 7494.0000000000
265.0000000000 7501.0000000000
268.0000000000 7475.0000000000
304.0000000000 7196.0000000000
302.0000000000 7203.0000000000
316.0000000000 7144.0000000000
318.0000000000 7091.0000000000
335.0000000000 7017.0000000000
328.0000000000 7026.0000000000
350.0000000000 6966.0000000000
344.0000000000 6967.0000000000
337.0000000000 6969.0000000000
400.0000000000 6654.0000000000
398.0000000000 6665.0000000000
387.0000000000 6687.0000000000
389.0000000000 6678.0000000000
385.0000000000 6696.0000000000
427.0000000000 6560.0000000000
411.0000000000 6566.0000000000
456.0000000000 6370.0000000000
455.0000000000 6371.0000000000
483.0000000000 6275.0000000000
486.0000000000 6254.0000000000
488.0000000000 6239.0000000000
561.0000000000 5986.0000000000
532.0000000000 6081.0000000000
546.0000000000 6062.0000000000
547.0000000000 6031.0000000000
662.0000000000 5712.0000000000
667.0000000000 5701.0000000000
666.0000000000 5704.0000000000
664.0000000000 5707.0000000000
676.0000000000 5680.0000000000
691.0000000000 5647.0000000000
