,Correlated,,,Anticorrelated,,,Concave,,
,e-una add,Hyp,R2,e-una add,Hyp,R2,e-una add,Hyp,R2
50.1,0.9959,1.0000,1.0000,0.5833,1.0000,1.0000,0.0000,0.6871,0.5985
50.2,1.0000,1.0000,1.0000,0.0000,0.2066,0.0000,0.0000,0.0003,0.0001
50.3,0.9994,1.0000,0.9989,0.9166,1.0000,1.0000,0.0000,0.0000,0.0001
100.1,0.9780,0.0000,1.0000,0.1710,0.0000,0.0001,0.0000,0.0000,0.0000
100.2,0.9774,0.7451,1.0000,0.9912,1.0000,1.0000,0.0000,0.0000,0.0000
100.3,0.8358,0.2549,0.9998,0.9980,1.0000,1.0000,0.0000,0.0000,0.0000
200.1,0.0000,0.0000,0.0355,1.0000,0.9419,1.0000,0.9591,1.0000,1.0000
200.2,0.0000,0.0000,0.0012,1.0000,0.8265,1.0000,0.9984,0.9987,0.9987
200.3,0.0000,0.0001,0.8359,0.9861,0.9846,0.0000,0.0000,0.0000,0.0000
300.1,0.0001,0.0000,0.0000,0.8426,0.0001,1.0000,0.0007,0.0007,H0
300.2,0.0000,0.0000,0.0000,1.0000,0.9999,0.1895,1.0000,1.0000,1.0000
300.3,0.0000,0.0000,0.0000,0.9557,0.9996,0.0000,H0,H0,H0
400.1,0.0000,0.0000,0.0000,1.0000,0.0241,1.0000,H0,H0,H0
400.2,0.0000,0.0000,0.0000,0.9999,1.0000,0.0000,1.0000,1.0000,1.0000
400.3,0.0000,0.0000,0.0000,0.1781,H0,0.0000,0.6730,0.4553,0.4253
500.1,0.0000,0.0000,0.0000,0.2568,1.0000,1.0000,0.0000,0.0000,0.0000
500.2,0.0000,0.0000,0.0000,1.0000,0.9962,0.0000,0.0000,0.0000,0.0000
500.3,0.0000,0.0000,0.0000,0.9963,0.7558,0.0000,0.0000,0.0000,0.0000
600.1,0.0000,0.0000,0.0000,0.0142,1.0000,1.0000,0.0000,0.0000,0.0000
600.2,0.0000,0.0000,0.0000,1.0000,0.0002,0.0000,0.0001,1.0000,1.0000
600.3,0.0000,0.0000,0.0000,0.9803,0.6000,0.0000,0.9424,0.9888,H0
700.1,0.0000,0.0000,0.0000,0.0148,0.0000,1.0000,0.0000,0.0000,0.0000
700.2,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,H0,H0,H0
700.3,0.0000,0.0000,0.0000,0.9690,0.1178,0.0000,0.0000,0.0000,0.0000
800.1,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000
800.2,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000
800.3,0.0000,0.0000,0.0000,0.2495,0.0000,0.0000,0.0000,0.0000,0.0000
900.1,0.0000,0.0000,0.0000,0.0000,0.7866,1.0000,H0,H0,H0
900.2,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,H0,H0,H0
900.3,0.0000,0.0000,0.0000,0.9167,0.0000,0.0000,H0,H0,H0
1000.1,0.0000,0.0000,0.0000,0.0000,0.0000,0.7285,0.0000,1.0000,0.0000
1000.2,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,1.0000,1.0000,1.0000
1000.3,0.0969,0.0000,0.0000,1.0000,0.0000,0.0000,1.0000,1.0000,1.0000
