,Correlated,,,Anticorrelated,,,Concave,,
,e-una add,Hyp,R2,e-una add,Hyp,R2,e-una add,Hyp,R2
50.1,0.9992,1.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000
50.2,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000
50.3,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000
100.1,0.0000,0.9962,0.0000,0.0189,0.0002,0.0000,0.0013,0.0001,0.0000
100.2,0.0000,1.0000,0.7292,0.0000,0.0000,0.0000,0.9959,0.1943,0.2515
100.3,1.0000,1.0000,1.0000,0.0000,0.0151,0.0000,0.9996,0.9998,0.9892
200.1,0.0000,0.0000,0.0000,0.0057,0.0000,0.0000,0.0000,0.9656,0.9292
200.2,0.0000,0.9910,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
200.3,0.0000,1.0000,0.0000,0.0000,1.0000,0.0000,0.6378,0.0002,0.0029
300.1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9993,0.9993,H0
300.2,0.0000,0.0001,0.0000,0.0000,0.6541,0.0000,0.0000,0.4043,0.4376
300.3,0.0000,0.0000,0.0000,0.0000,0.9792,0.0000,H0,H0,H0
400.1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,H0,H0,H0
400.2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
400.3,0.0000,0.0000,0.0000,0.0000,H0,0.0000,0.0000,0.0003,0.0000
500.1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
500.2,0.0000,0.0000,0.0000,0.0000,0.2623,0.0000,0.0000,0.0000,0.0000
500.3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
600.1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
600.2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
600.3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6567,H0
700.1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
700.2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,H0,H0,H0
700.3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
800.1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
800.2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
800.3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
900.1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,H0,H0,H0
900.2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,H0,H0,H0
900.3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,H0,H0,H0
1000.1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1000.2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000
1000.3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
