,Correlated,,,Anticorrelated,,,Concave,,
,GRPR,TAPAS,T-BT,GRPR,TAPAS,T-BT,GRPR,TAPAS,T-BT
50.1,1.29,6.45,1.36,2.80,11.86,4.18,1.54,10.56,1.03
50.2,0.94,3.54,0.71,5.93,23.72,6.54,4.02,26.52,2.56
50.3,0.43,2.44,0.38,10.38,33.29,7.48,3.77,16.88,2.28
100.1,8.04,18.22,4.73,13.68,33.51,9.17,6.23,19.06,3.10
100.2,6.13,12.08,3.19,30.39,39.54,10.40,10.60,34.52,6.02
100.3,3.05,8.27,1.66,94.80,46.09,10.93,9.32,27.39,4.86
200.1,41.32,35.73,9.80,84.54,40.88,14.14,2.74,3.82,0.80
200.2,31.53,22.83,7.02,170.67,49.97,15.12,2.32,1.92,0.49
200.3,19.57,17.91,5.27,589.26,57.41,15.75,44.52,39.72,8.39
300.1,103.45,39.78,12.44,286.49,47.53,16.74,6.83,1.17,0.63
300.2,63.06,30.20,9.12,484.82,59.81,18.83,5.13,6.47,1.64
300.3,43.74,21.86,7.03,1679.29,67.99,20.59,5.14,1.71,0.70
400.1,242.92,46.80,16.12,663.47,60.48,20.79,8.58,3.76,1.29
400.2,142.17,35.83,12.14,1138.18,76.40,24.12,9.14,14.11,3.48
400.3,64.59,26.29,9.46,2467.95,86.37,26.05,22.88,33.49,4.24
500.1,381.28,50.77,17.11,1132.47,76.96,23.90,412.73,59.18,17.83
500.2,216.62,40.95,14.59,2391.04,96.35,28.08,272.41,45.46,12.06
500.3,80.80,33.32,11.06,3600.00,110.29,32.95,376.28,56.20,16.44
600.1,537.21,61.41,21.21,1685.62,96.64,29.77,877.04,64.71,16.88
600.2,320.49,49.73,17.20,3588.90,123.54,35.43,1013.21,73.70,22.56
600.3,110.92,41.42,13.86,3600.00,145.03,40.17,19.25,24.32,6.24
700.1,779.17,73.24,24.44,3416.30,120.95,34.80,364.78,66.02,13.95
700.2,480.94,57.96,19.36,3600.00,158.46,42.46,37.77,19.14,3.02
700.3,236.58,52.69,16.38,3600.00,190.34,50.65,293.69,64.50,13.01
800.1,1425.70,88.53,29.75,3596.25,149.68,42.38,274.54,85.65,15.66
800.2,672.88,72.87,24.68,3600.00,208.05,53.01,393.15,78.36,16.75
800.3,298.17,66.01,20.97,3600.00,250.19,61.41,484.38,81.60,17.83
900.1,1684.50,107.82,35.45,3600.00,189.19,51.03,55.26,40.64,5.73
900.2,889.35,91.22,29.36,3600.00,269.98,65.94,58.07,39.31,5.16
900.3,334.52,80.60,24.90,3600.00,324.57,77.88,60.09,45.38,5.17
1000.1,2292.93,127.04,39.86,3600.00,233.39,59.17,3467.42,162.22,42.64
1000.2,1078.77,118.98,34.26,3600.00,376.94,76.31,3598.07,180.61,49.00
1000.3,404.53,104.87,29.41,3600.00,455.73,90.54,3556.79,185.81,53.70
