Instance,SRSS,,,Memético rocha,,
,concave,correlated,anticorrelated,concave,correlated,anticorrelated
50.1,"0,0613","0,0593","0,1737","5,8633","5,6143","5,9537"
50.2,"0,1423","0,0220","0,2260","7,6187","4,8060","6,6023"
50.3,"0,0877","0,0227","0,2127","6,7487","4,2477","7,2223"
50.4,"0,1610","0,0103","0,2253","8,2250","3,8500","7,5897"
50.5,"0,1403","0,0000","0,2877","7,6400","2,7490","8,4910"
100.1,"0,3297","0,4583","1,0483","17,3673","13,1770","14,3743"
100.2,"0,6200","0,2663","1,2703","19,3703","13,0540","13,8080"
100.3,"0,4763","0,1617","1,4880","18,7607","11,7657","12,9767"
100.4,"0,3790","0,0740","1,1333","17,6043","11,1330","12,3037"
100.5,"0,4707","0,0470","1,4113","18,3213","10,8413","12,8477"
200.1,"0,2677","2,2733","5,3300","32,9320","43,3443","39,6487"
200.2,"0,0620","1,2673","6,0940","27,8777","41,7117","35,9117"
200.3,"2,5657","1,1223","6,4210","66,4263","43,8313","31,1910"
200.4,"1,6717","0,5063","6,4293","62,2690","39,5773","31,2563"
200.5,"2,7083","0,3687","7,9143","65,4543","41,4197","30,2797"
300.1,"0,0000","5,0960","12,8987","422,4180","104,4160","81,5333"
300.2,"0,3250","3,2963","15,9363","142,8390","94,4147","72,3347"
300.3,"0,0187","2,2700","16,9547","129,4603","96,4543","65,5627"
300.4,"2,5130","1,3013","16,8790","120,8757","91,1733","65,6897"
300.5,"1,4450","0,9010","25,0093","111,1947","117,4333","75,6077"
400.1,"0,0743","9,5130","25,7397","190,6253","194,6760","166,5867"
400.2,"0,8547","5,6927","32,2887","229,6207","174,5890","139,3077"
400.3,"4,9943","3,8283","32,5653","198,1290","126,8400","82,4733"
400.4,"4,7577","2,3473","35,9640","239,5383","124,4047","81,0940"
400.5,"9,5050","1,5283","50,7617","225,4236","151,0127","80,9683"
500.1,"25,6170","12,0950","44,1993","373,5730","201,7566","170,8173"
500.2,"10,4667","9,2650","52,6020","423,0570","199,4377","141,7733"
500.3,"14,4857","5,2657","59,0817","362,6386","200,3883","129,6050"
500.4,"6,4273","4,4410","57,5950","360,5860","190,6850","128,0784"
500.5,"13,1573","1,9367","103,8110","343,5190","256,0934","129,3327"
600.1,"75,6733","18,7063","68,0240","578,6930","327,7260","277,8803"
600.2,"44,3950","13,2467","79,8247","583,9227","325,8753","243,5623"
600.3,"1,2640","9,5447","86,7050","756,2854","322,3860","230,4033"
600.4,"41,4657","6,3377","93,1420","594,7043","328,8790","227,2076"
600.5,"25,8100","2,5557","184,8793","575,2473","450,4136","233,7630"
700.1,"61,3053","25,1707","96,4137","1023,4586","558,9390","510,2943"
700.2,"0,0003","17,4567","106,9317","2058,8638","555,3067","437,8693"
700.3,"27,3433","10,7757","125,5473","1025,7333","560,0614","436,9577"
700.4,"49,9793","8,5950","144,5327","937,1295","592,6960","432,2930"
700.5,"0,1887","2,5227","295,0500","838,3170","934,2537","441,6777"
800.1,"43,9017","34,5177","125,6193","1980,8287","870,1551","801,4144"
800.2,"31,7667","25,0477","144,5450","1631,3709","874,7693","740,0217"
800.3,"37,5343","18,7073","166,4643","1571,0027","888,2297","729,8650"
800.4,"25,9970","11,4297","202,0397","1609,0116","1023,7539","729,5717"
800.5,"23,9503","2,7347","451,8094","1516,5304","1611,6024","752,1336"
900.1,"0,2070","46,4610","164,0013","1637,7430","1248,6167","1169,0935"
900.2,"0,0013","29,9910","189,8797","3473,0210","1263,4840","1062,1603"
900.3,"0,0003","21,9303","223,9427","5643,1284","1293,1415","1051,0641"
900.4,"21,2087","14,4110","293,5213","2334,7869","1539,7255","1162,3289"
900.5,"26,4563","2,3933","621,6883","2160,2168","2514,1013","1185,4054"
1000.1,,,,,,
1000.2,,,,,,
1000.3,,,,,,
1000.4,,,,,,
1000.5,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
