Instance,Epsilon ,,,Hypervolume,,
,concave,correlated,anticorrelated,concave,correlated,anticorrelated
50.1,"1,0000","0,0021","0,0000","0,0000","0,0000","0,0000"
50.2,"1,0000","1,0000","0,0000","0,0000","0,9430","0,0000"
50.3,"1,0000","1,0000","0,9986","0,0000","0,0547","0,0000"
50.4,"1,0000","1,0000","1,0000","0,0000","1,0000","0,0075"
50.5,"1,0000","1,0000","1,0000","0,0000","0,0076","1,0000"
100.1,"1,0000","0,0000","0,0000","0,0010","0,0000","0,0000"
100.2,"1,0000","0,0000","0,0000","0,0000","0,0000","0,0000"
100.3,"1,0000","0,0000","0,9806","0,0000","0,0000","0,0000"
100.4,"1,0000","0,0964","1,0000","0,0000","0,0000","0,0000"
100.5,"1,0000","1,0000","0,0015","0,0000","0,9967","0,0000"
200.1,"1,0000","0,0000","0,0000","1,0000","0,0000","0,0000"
200.2,"1,0000","0,0000","0,0000","1,0000","0,0000","0,0000"
200.3,"1,0000","0,0000","0,0000","0,0000","0,0000","0,0000"
200.4,"1,0000","0,0000","0,0002","0,0000","0,0000","0,0000"
200.5,"1,0000","0,0420","0,0000","0,0000","0,9987","0,0000"
300.1,"1,0000","0,0000","0,0000","0,5000","0,0000","0,0000"
300.2,"1,0000","0,0000","0,0000","1,0000","0,0000","0,0000"
300.3,"1,0000","0,0000","0,5412","0,9999","0,0000","0,0002"
300.4,"1,0000","0,0000","0,0000","1,0000","0,0000","0,0000"
300.5,"1,0000","1,0000","0,0000","0,9998","1,0000","0,0000"
400.1,"0,9948","0,0000","0,0000","0,9947","0,0000","0,0000"
400.2,"1,0000","0,0000","0,0000","1,0000","0,0000","0,0000"
400.3,"1,0000","0,0000","0,5820","1,0000","0,0000","0,0000"
400.4,"1,0000","0,0004","0,0000","0,0916","0,0000","0,0000"
400.5,"1,0000","1,0000","0,0000","0,0000","0,9945","0,0000"
500.1,"1,0000","0,0000","0,0000","1,0000","0,0000","0,0000"
500.2,"1,0000","0,0000","0,0000","1,0000","0,0000","0,0000"
500.3,"1,0000","0,0000","0,8164","0,0000","0,0000","0,0000"
500.4,"1,0000","0,5916","0,0000","0,0000","0,0000","0,0000"
500.5,"1,0000","1,0000","0,0000","0,0000","0,9995","0,0000"
600.1,"1,0000","0,0000","0,0000","0,9722","0,0000","0,0000"
600.2,"1,0000","0,0000","0,0000","0,0000","0,0000","0,0000"
600.3,"1,0000","0,0000","0,8125","1,0000","0,0000","0,0000"
600.4,"1,0000","0,9931","0,0000","0,0000","0,0000","0,0000"
600.5,"1,0000","1,0000","0,0000","0,0000","0,5940","0,0000"
700.1,"1,0000","0,0000","0,0000","1,0000","0,0000","0,0000"
700.2,"1,0000","0,0000","0,0000","0,5000","0,0000","0,0000"
700.3,"1,0000","0,0002","0,1855","0,9998","0,0000","0,0000"
700.4,"1,0000","0,9923","0,0000","0,0000","0,0000","0,0000"
700.5,"0,9610","1,0000","0,0000","0,9610","1,0000","0,0000"
800.1,"1,0000","0,0000","0,0000","1,0000","0,0000","0,0000"
800.2,"1,0000","0,0000","0,0000","0,9998","0,0000","0,0000"
800.3,"1,0000","0,0001","0,0010","0,9961","0,0000","0,0000"
800.4,"1,0000","1,0000","0,0000","1,0000","0,0004","0,0000"
800.5,"1,0000","1,0000","0,0000","0,0010","1,0000","0,0000"
900.1,"0,8413","0,0000","0,0000","0,8413","0,0000","0,0000"
900.2,"1,0000","0,0000","0,0000","0,0000","0,0000","0,0000"
900.3,"1,0000","0,0299","0,3181","0,5000","0,0000","0,0000"
900.4,"1,0000","0,9983","0,0000","1,0000","0,0000","0,0000"
900.5,"1,0000","1,0000","0,0000","1,0000","0,9987","0,0000"
1000.1,,,,,,
1000.2,,,,,,
1000.3,,,,,,
1000.4,,,,,,
1000.5,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
