Instance,Tapas,,,Memético rocha,,
,concave,correlated,anticorrelated,concave,correlated,anticorrelated
50.1,"1,3313","1,2040","1,4540","5,8633","5,6143","5,9537"
50.2,"9,9300","1,0317","1,8067","7,6187","4,8060","6,6023"
50.3,"1,5627","0,9390","2,2353","6,7487","4,2477","7,2223"
50.4,"1,5063","0,7960","3,2470","8,2250","3,8500","7,5897"
50.5,"1,4417","0,6173","5,1360","7,6400","2,7490","8,4910"
100.1,"2,3160","2,6513","3,0760","17,3673","13,1770","14,3743"
100.2,"3,0087","2,4407","3,6867","19,3703","13,0540","13,8080"
100.3,"2,6500","2,2520","4,4730","18,7607","11,7657","12,9767"
100.4,"2,9207","1,9853","6,5433","17,6043","11,1330","12,3037"
100.5,"16,2617","1,7607","8,4627","18,3213","10,8413","12,8477"
200.1,"2,5310","5,4553","7,0813","32,9320","43,3443","39,6487"
200.2,"2,2393","4,9373","8,1333","27,8777","41,7117","35,9117"
200.3,"5,4767","4,8247","10,4307","66,4263","43,8313","31,1910"
200.4,"5,1423","4,6380","13,2633","62,2690","39,5773","31,2563"
200.5,"6,2217","4,7813","13,6877","65,4543","41,4197","30,2797"
300.1,"0,8350","8,6377","11,6457","422,4180","104,4160","81,5333"
300.2,"4,4973","8,2293","14,3443","142,8390","94,4147","72,3347"
300.3,"1,1977","8,0153","15,6833","129,4603","96,4543","65,5627"
300.4,"7,3557","7,7300","18,2417","120,8757","91,1733","65,6897"
300.5,"6,9310","8,2890","20,0427","111,1947","117,4333","75,6077"
400.1,"2,6090","13,1840","17,8843","190,6253","194,6760","166,5867"
400.2,"6,4193","12,4843","21,2820","229,6207","174,5890","139,3077"
400.3,"10,0053","11,9343","21,7433","198,1290","126,8400","82,4733"
400.4,"12,3447","11,6903","25,3853","239,5383","124,4047","81,0940"
400.5,"13,4753","12,3487","29,0960","225,4236","151,0127","80,9683"
500.1,"19,3333","17,8247","25,3120","373,5730","201,7566","170,8173"
500.2,"17,1797","17,4440","29,0853","423,0570","199,4377","141,7733"
500.3,"18,7820","16,7673","29,0187","362,6386","200,3883","129,6050"
500.4,"17,1987","16,7510","33,8197","360,5860","190,6850","128,0784"
500.5,"19,1360","17,2510","41,2103","343,5190","256,0934","129,3327"
600.1,"25,0363","24,2623","33,9663","578,6930","327,7260","277,8803"
600.2,"27,9150","23,3767","37,6747","583,9227","325,8753","243,5623"
600.3,"14,3047","22,9030","38,1100","756,2854","322,3860","230,4033"
600.4,"31,5113","22,3600","46,3873","594,7043","328,8790","227,2076"
600.5,"25,3650","24,0953","57,9500","575,2473","450,4136","233,7630"
700.1,"27,5057","31,0467","43,4933","1023,4586","558,9390","510,2943"
700.2,"4,1037","29,8780","47,8643","2058,8638","555,3067","437,8693"
700.3,"28,1600","29,6870","48,5140","1025,7333","560,0614","436,9577"
700.4,"36,1063","29,1773","58,2103","937,1295","592,6960","432,2930"
700.5,"21,6850","30,3230","78,3850","838,3170","934,2537","441,6777"
800.1,"33,8933","39,1317","53,5887","1980,8287","870,1551","801,4144"
800.2,"34,9417","37,8580","59,1953","1631,3709","874,7693","740,0217"
800.3,"35,4533","37,2180","58,7847","1571,0027","888,2297","729,8650"
800.4,"35,8060","36,7580","74,9647","1609,0116","1023,7539","729,5717"
800.5,"37,7950","38,0967","104,8443","1516,5304","1611,6024","752,1336"
900.1,"12,8327","48,3367","66,0450","1637,7430","1248,6167","1169,0935"
900.2,"6,6653","46,6570","70,4450","3473,0210","1263,4840","1062,1603"
900.3,"6,6473","45,2593","71,5453","5643,1284","1293,1415","1051,0641"
900.4,"43,0473","44,9800","90,5380","2334,7869","1539,7255","1162,3289"
900.5,"42,2447","46,6013","140,0766","2160,2168","2514,1013","1185,4054"
1000.1,,,,,,
1000.2,,,,,,
1000.3,,,,,,
1000.4,,,,,,
1000.5,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
