========= Estatisticas ========= 
Semente utilizada : 9617890
Quantidade de arestas removidas: 4401
Quantidade de arestas obrigatorias = 0
Tempo PreProcessamento (s) = 0.05
Quantidade de solucoes suportadas = 30
Quantidade de individuos OBTIDOS APOS rmcKruskal = 134
Quantidade de individuos na populacao inicial =  150
Quantidade de solucoes no arquivo inicial =  283
Quantidade de solucoes na primeira fase = 300
Tempo PrimeiraFase(s) = 31.63
Quantidade de solucoes na segunda fase = 300
Tempo SegundaFase(s) = 2
Quantidade de solucoes não dominadas que o PR encontrou = 5
Quantiade de avalicoes da funcao objetivo = 470297
Tempo FINAL(s) =  33.68
Resultado : 
74 4838
75 4756
76 4681
77 4612
79 4486
80 4428
81 4374
82 4321
83 4271
84 4231
85 4203
86 4163
87 4130
89 4071
91 4013
93 3956
94 3929
96 3876
99 3801
101 3756
103 3712
104 3701
106 3648
108 3608
112 3532
113 3514
116 3464
117 3444
118 3427
125 3315
127 3285
129 3262
134 3194
137 3158
141 3111
144 3076
154 2961
160 2893
165 2838
166 2828
171 2780
173 2761
174 2759
177 2724
182 2678
188 2623
192 2588
197 2550
199 2535
205 2491
208 2471
212 2446
217 2415
223 2379
224 2373
227 2365
230 2338
238 2293
240 2282
245 2255
250 2230
254 2211
257 2197
258 2194
259 2188
266 2159
267 2154
272 2133
273 2130
279 2104
289 2072
291 2063
295 2049
296 2036
300 2024
304 2006
307 1995
313 1974
318 1957
321 1947
328 1926
331 1924
355 1868
359 1841
368 1820
369 1815
372 1806
378 1803
380 1797
385 1781
395 1775
402 1753
404 1742
415 1733
430 1706
431 1705
455 1681
469 1663
473 1661
480 1653
495 1603
498 1600
508 1588
515 1577
521 1574
532 1558
546 1546
549 1541
555 1537
561 1534
562 1528
568 1527
576 1521
579 1512
582 1510
585 1507
596 1496
600 1494
607 1493
623 1474
634 1463
642 1457
721 1418
744 1381
777 1367
793 1357
794 1347
811 1337
886 1294
901 1285
922 1279
930 1273
965 1258
996 1246
1001 1243
1026 1239
1057 1219
1063 1210
1078 1203
1097 1200
1148 1184
1183 1175
1190 1165
1239 1148
1245 1146
1271 1138
1315 1125
1320 1124
1322 1123
1329 1121
1368 1110
1381 1107
1384 1106
1449 1089
1510 1081
1536 1076
1552 1064
1581 1056
1667 1044
1680 1035
1691 1032
1703 1027
1741 1024
1777 1022
1780 1009
1813 1004
1824 999
1857 993
1894 985
1932 975
1979 965
2018 960
2043 953
2068 951
2089 943
2140 933
2181 925
2207 920
2228 916
2247 913
2308 901
2384 899
2386 888
2442 879
2476 876
2486 874
2505 869
2524 866
2576 858
2636 849
2649 848
2663 845
2687 843
2697 840
2738 834
2776 833
2800 825
2910 821
2912 809
2983 803
2985 801
2986 799
2990 798
3026 793
3113 781
3152 779
3193 770
3220 767
3276 761
3311 754
3353 752
3363 749
3386 744
3447 736
3493 730
3556 722
3624 716
3643 711
3687 710
3694 708
3707 707
3819 689
3894 680
3903 679
3954 673
4038 665
4040 663
4072 661
4106 659
4109 655
4161 649
4251 639
4325 631
4353 628
4366 627
4391 624
4437 623
4459 617
4520 615
4537 609
4626 600
4702 598
4776 585
4857 577
4894 576
4928 570
4979 565
5020 561
5092 554
5176 546
5250 539
5303 534
5346 530
5389 526
5399 525
5421 523
5474 518
5541 512
5610 506
5669 501
5705 498
5794 491
5858 486
5910 482
5989 476
6029 473
6097 468
6152 464
6222 459
6307 453
6360 450
6451 443
6466 442
6527 438
6581 435
6589 434
6652 430
6686 428
6721 426
6772 424
6774 423
6810 421
6922 415
6960 413
6999 411
7039 409
7079 407
7144 404
7188 402
7256 399
7325 396
7445 391
7499 389
7528 388
7558 387
7590 386
7661 384
7702 383
7745 382
7789 381
