========= Estatisticas ========= 
Semente utilizada : 2750001
Quantidade de arestas removidas: 18528
Quantidade de arestas obrigatorias = 0
Tempo PreProcessamento (s) = 0.44
Quantidade de solucoes suportadas = 30
Quantidade de individuos OBTIDOS APOS rmcKruskal = 134
Quantidade de individuos na populacao inicial =  150
Quantidade de solucoes no arquivo inicial =  300
Quantidade de solucoes na primeira fase = 300
Tempo PrimeiraFase(s) = 36
Quantidade de solucoes na segunda fase = 300
Tempo SegundaFase(s) = 4.57
Quantidade de solucoes não dominadas que o PR encontrou = 7
Quantiade de avalicoes da funcao objetivo = 502386
Tempo FINAL(s) =  41.01
Resultado : 
30 10273
31 10191
32 10114
33 10041
34 9972
35 9906
36 9841
38 9713
40 9587
41 9525
43 9403
44 9343
46 9227
47 9170
48 9115
49 9114
51 8959
54 8797
55 8747
57 8663
59 8551
61 8455
62 8409
63 8365
65 8283
67 8202
68 8162
72 8008
75 7894
76 7857
77 7821
78 7786
80 7718
84 7586
86 7522
88 7459
90 7398
93 7308
98 7204
99 7134
102 7050
104 6995
106 6941
109 6878
111 6816
112 6792
114 6745
120 6608
123 6545
125 6504
132 6364
134 6325
135 6318
138 6249
142 6175
144 6139
146 6105
148 6072
162 5860
164 5821
166 5792
169 5767
171 5730
175 5667
189 5489
193 5454
194 5431
198 5386
205 5317
208 5279
218 5182
222 5143
225 5115
236 5016
240 4982
247 4924
251 4897
257 4844
276 4700
280 4685
297 4552
305 4501
307 4486
321 4449
332 4356
341 4287
349 4248
353 4222
366 4153
380 4099
384 4063
396 4014
419 3909
430 3871
435 3855
442 3829
470 3723
478 3703
496 3624
497 3620
534 3571
535 3509
553 3464
578 3420
587 3380
618 3324
650 3249
660 3230
676 3203
703 3151
704 3148
720 3126
768 3049
852 2934
868 2909
875 2903
892 2894
922 2851
1018 2775
1050 2749
1077 2687
1113 2654
1118 2651
1135 2634
1144 2627
1197 2582
1347 2486
1421 2456
1497 2447
1504 2440
1564 2417
1590 2362
1600 2322
1617 2314
1745 2262
1763 2255
1932 2203
2042 2164
2066 2142
2099 2140
2149 2117
2172 2101
2200 2099
2232 2086
2399 2040
2456 2018
2540 2000
2582 1986
2603 1981
2701 1958
2778 1941
2899 1924
2952 1901
3063 1877
3115 1866
3223 1860
3319 1854
3365 1832
3451 1804
3496 1799
3668 1780
3721 1749
3780 1739
3912 1731
3924 1720
4026 1698
4138 1682
4174 1674
4446 1640
4469 1639
4483 1628
4500 1623
4626 1608
4674 1599
4808 1578
4841 1573
4915 1569
4933 1565
4966 1561
5012 1558
5305 1517
5353 1503
5395 1498
5446 1490
5641 1464
5736 1458
5812 1442
5876 1438
6015 1430
6041 1425
6104 1413
6195 1396
6260 1386
6345 1384
6358 1374
6540 1356
6563 1349
6662 1337
6746 1327
6805 1320
6841 1319
6955 1307
7161 1285
7209 1274
7224 1271
7356 1266
7446 1250
7645 1224
7649 1222
7675 1221
7782 1207
7861 1201
7981 1187
8194 1161
8285 1151
8335 1149
8413 1137
8545 1128
8643 1112
8754 1100
8819 1093
8894 1085
8945 1084
8992 1077
9236 1054
9274 1045
9335 1039
9341 1038
9389 1033
9592 1012
9728 998
9792 997
9884 982
9933 977
10104 966
10246 946
10503 920
10605 910
10697 901
10902 881
11057 866
11140 858
11203 852
11341 839
11384 835
11459 829
11546 820
11622 813
11897 788
11986 780
12132 767
12189 762
12350 748
12385 745
12479 737
12597 727
12668 721
12751 714
12991 694
13113 684
13199 677
13261 672
13299 669
13391 666
13539 663
13583 647
13645 644
13689 639
13837 628
13982 627
14001 616
14123 608
14139 606
14377 589
14434 585
14477 582
14587 581
14681 568
14817 559
14878 555
14924 552
15001 547
15105 544
15172 536
15254 531
15332 526
15433 520
15523 515
15885 496
15915 495
15927 494
16014 490
16084 487
16133 485
16324 478
16455 474
16493 473
16576 471
16620 470
16671 469
