========= Estatisticas ========= 
Semente utilizada : 4024282
Quantidade de arestas removidas: 907
Quantidade de arestas obrigatorias = 0
Tempo PreProcessamento (s) = 0
Quantidade de solucoes suportadas = 30
Quantidade de individuos OBTIDOS APOS rmcKruskal = 134
Quantidade de individuos na populacao inicial =  150
Quantidade de solucoes no arquivo inicial =  188
Quantidade de solucoes na primeira fase = 300
Tempo PrimeiraFase(s) = 22.83
Quantidade de solucoes na segunda fase = 300
Tempo SegundaFase(s) = 1.17
Quantidade de solucoes não dominadas que o PR encontrou = 13
Quantiade de avalicoes da funcao objetivo = 397741
Tempo FINAL(s) =  24
Resultado : 
110 3442
111 3413
113 3356
114 3329
116 3286
117 3260
118 3239
121 3178
122 3158
125 3102
128 3047
129 3032
132 2992
134 2967
136 2944
138 2926
143 2896
144 2876
148 2863
150 2827
156 2781
158 2767
161 2748
165 2729
168 2698
176 2646
178 2632
180 2619
202 2525
205 2494
210 2480
212 2471
216 2441
226 2394
234 2375
236 2348
240 2330
247 2324
254 2287
255 2263
261 2239
263 2235
265 2227
276 2214
278 2182
281 2172
290 2170
292 2138
300 2120
306 2095
308 2089
316 2082
318 2061
324 2058
326 2042
327 2036
331 2034
340 2000
345 1987
347 1983
352 1974
355 1964
360 1951
361 1947
366 1936
367 1934
372 1923
391 1883
406 1882
408 1853
410 1847
411 1845
418 1838
433 1812
438 1799
442 1794
450 1793
451 1778
466 1756
488 1754
489 1739
493 1717
502 1716
514 1688
518 1682
523 1675
547 1657
550 1654
556 1639
574 1617
575 1615
581 1606
585 1604
589 1597
595 1594
598 1587
616 1569
627 1560
640 1550
646 1544
657 1535
666 1533
670 1525
685 1520
690 1510
696 1509
699 1506
700 1503
709 1501
712 1496
734 1486
739 1477
751 1470
783 1460
788 1447
803 1438
811 1437
815 1431
824 1426
847 1423
850 1411
864 1403
882 1393
912 1387
942 1361
959 1352
980 1341
996 1333
1023 1327
1025 1326
1031 1321
1043 1315
1072 1298
1091 1293
1093 1292
1096 1285
1104 1280
1122 1273
1135 1267
1146 1262
1164 1259
1172 1247
1195 1236
1222 1235
1228 1221
1237 1217
1270 1209
1295 1202
1299 1198
1303 1188
1330 1181
1344 1172
1351 1171
1377 1161
1394 1155
1407 1147
1417 1143
1419 1139
1431 1138
1433 1137
1434 1134
1470 1123
1476 1116
1482 1114
1487 1111
1498 1109
1504 1107
1505 1104
1512 1103
1530 1099
1531 1094
1563 1084
1570 1082
1588 1076
1594 1070
1613 1065
1616 1063
1648 1052
1657 1047
1669 1045
1683 1037
1700 1036
1705 1029
1728 1024
1739 1020
1754 1019
1756 1016
1759 1009
1794 1004
1795 1003
1796 999
1806 993
1830 986
1838 983
1871 980
1891 963
1902 961
1930 958
1935 954
1937 951
1946 950
1961 944
1963 943
1971 936
1983 932
1995 930
2023 924
2057 912
2066 907
2088 900
2099 899
2107 891
2139 887
2142 883
2177 876
2178 868
2192 867
2206 859
2242 856
2246 854
2257 849
2272 840
2291 832
2313 829
2322 826
2354 824
2358 820
2363 815
2379 810
2396 799
2455 798
2463 783
2474 777
2477 774
2503 766
2531 763
2556 761
2566 759
2576 755
2578 743
2604 738
2619 735
2640 724
2663 717
2721 711
2722 710
2726 698
2766 686
2793 678
2810 677
2858 670
2864 657
2881 652
2905 645
2954 642
2967 627
3009 615
3042 610
3055 602
3126 582
3153 580
3164 578
3177 568
3199 562
3234 561
3241 553
3280 540
3323 529
3364 524
3370 517
3422 515
3433 501
3498 496
3500 484
3550 472
3593 467
3610 462
3630 453
3664 445
3677 442
3721 432
3771 421
3806 417
3813 412
3861 402
3866 401
3902 394
3907 393
3943 386
3984 379
4003 377
4036 372
4050 369
4061 368
4078 365
4094 363
4114 361
4168 359
4169 358
4192 357
