========= Estatisticas ========= 
Semente utilizada : 9034469
Quantidade de arestas removidas: 166928
Quantidade de arestas obrigatorias = 0
Tempo PreProcessamento (s) = 30.89
Quantidade de solucoes suportadas = 30
Quantidade de individuos OBTIDOS APOS rmcKruskal = 134
Quantidade de individuos na populacao inicial =  150
Quantidade de solucoes no arquivo inicial =  300
Quantidade de solucoes na primeira fase = 300
Tempo PrimeiraFase(s) = 65.64
Quantidade de solucoes na segunda fase = 300
Tempo SegundaFase(s) = 48.47
Quantidade de solucoes não dominadas que o PR encontrou = 10
Quantiade de avalicoes da funcao objetivo = 1094746
Tempo FINAL(s) =  145
Resultado : 
10 35106
13 35030
18 34913
27 34734
29 34682
48 34406
67 34064
73 33980
86 33811
104 33654
109 33534
131 33297
138 33217
173 32885
218 32528
224 32509
247 32327
249 32318
270 32197
285 32133
412 31580
488 31257
490 31240
511 31190
596 31006
597 30982
615 30902
688 30825
934 30375
971 30277
1335 29831
1462 29817
1483 29702
1507 29676
1573 29656
1734 29436
1809 29406
1839 29391
1842 29343
1855 29332
2075 29154
2129 29112
2332 28960
2347 28949
2706 28693
3026 28630
3263 28323
3373 28253
3611 28104
3632 28091
3710 28043
3746 28021
3769 28007
4327 27673
4639 27491
4753 27425
5172 27214
5228 27184
5394 27060
5949 26752
6131 26652
6384 26514
6419 26495
6613 26390
7120 26117
7280 26041
7357 25990
7802 25842
7866 25808
8021 25636
8149 25568
8699 25277
8951 25144
9006 25115
9032 25105
9424 24895
9504 24853
9882 24655
9970 24609
10246 24465
10390 24390
10690 24234
10742 24207
10940 24107
11190 24091
11309 23913
11421 23855
11761 23709
11769 23675
11858 23629
12152 23478
12416 23341
12544 23275
12802 23246
12907 23088
12975 23053
13121 22978
13220 22927
13292 22890
13976 22539
14369 22422
14443 22413
14659 22393
14796 22119
14899 22071
15526 21900
15847 21668
15964 21522
16641 21325
16766 21113
17084 20951
17414 20783
17555 20764
17813 20580
18570 20374
19353 19994
19414 19986
19525 19818
19526 19803
19762 19726
19940 19677
19977 19664
19981 19585
19997 19471
20175 19470
20649 19327
20695 19308
20763 19229
20936 19117
21038 19104
21517 18788
21683 18775
21782 18713
21903 18621
22085 18522
22316 18447
22487 18399
22988 18181
23013 18089
23214 18012
23267 17977
23333 17956
23371 17903
23585 17789
23872 17680
23993 17587
24262 17495
24491 17365
24499 17342
24581 17329
24772 17195
25005 17107
25087 17073
25124 17040
25179 16993
26287 16416
26395 16385
26446 16355
26455 16344
26545 16295
26561 16277
26755 16193
26847 16151
26881 16123
26944 16103
26968 16099
26972 16091
27018 16064
27134 16003
27394 15867
27590 15766
27678 15718
27795 15672
28015 15546
28764 15202
28773 15201
28792 15136
28880 15134
28962 15100
29074 15043
29151 15016
29216 14973
29535 14835
30641 14294
30667 14262
30718 14195
30844 14152
31041 14083
31052 14073
31183 13997
31786 13700
31857 13646
31946 13631
32544 13309
32726 13273
32748 13266
32786 13213
32884 13168
33179 13010
33285 12955
33347 12907
33703 12747
34004 12604
34069 12541
34310 12492
34395 12392
34698 12209
34702 12200
34838 12141
35037 12049
35487 11894
35716 11802
35877 11732
35946 11569
36232 11488
36455 11370
36542 11367
36581 11294
36839 11203
37022 11090
37156 10868
37350 10772
37540 10678
37807 10546
38068 10417
38406 10250
38487 10210
39171 10055
39181 9940
39389 9927
39494 9713
39631 9647
39719 9602
40011 9458
40350 9430
40366 9283
40918 9011
41429 8763
41454 8747
41974 8491
42352 8305
42596 8185
43127 7924
43420 7781
43469 7756
44184 7405
44290 7353
44698 7153
44845 7081
44941 7034
45082 6965
45577 6723
45835 6597
45919 6556
46329 6356
46641 6204
46717 6167
46964 6053
46976 6041
47186 5939
47322 5873
47487 5793
47952 5568
48072 5510
48507 5300
48563 5273
48725 5195
49400 4871
49473 4836
49617 4767
49916 4624
50004 4582
50687 4257
51126 4049
51306 3964
51404 3946
51869 3699
52164 3568
52276 3560
52323 3487
52959 3349
53002 3173
53085 3135
53651 2878
53751 2833
54075 2689
54125 2667
54349 2569
54441 2529
54980 2298
55037 2274
55301 2164
55403 2122
55425 2113
56592 1751
56716 1663
56835 1647
57288 1479
57567 1420
57645 1409
