========= Estatisticas ========= 
Semente utilizada : 4398922
Quantidade de arestas removidas: 238323
Quantidade de arestas obrigatorias = 0
Tempo PreProcessamento (s) = 29.24
Quantidade de solucoes suportadas = 30
Quantidade de individuos OBTIDOS APOS rmcKruskal = 134
Quantidade de individuos na populacao inicial =  150
Quantidade de solucoes no arquivo inicial =  300
Quantidade de solucoes na primeira fase = 300
Tempo PrimeiraFase(s) = 64.76
Quantidade de solucoes na segunda fase = 300
Tempo SegundaFase(s) = 27.67
Quantidade de solucoes não dominadas que o PR encontrou = 6
Quantiade de avalicoes da funcao objetivo = 736426
Tempo FINAL(s) =  121.67
Resultado : 
1 17508
3 17391
5 17286
6 17235
7 17185
10 17048
14 16878
18 16714
21 16600
22 16564
23 16529
27 16393
28 16360
29 16328
33 16204
41 15967
43 15910
47 15798
50 15717
56 15561
62 15411
65 15339
75 15109
81 14977
87 14851
91 14771
100 14591
106 14477
120 14225
122 14190
131 14037
141 13899
144 13829
161 13574
165 13516
168 13473
173 13412
180 13305
186 13224
206 12964
212 12892
239 12587
243 12543
245 12522
258 12446
269 12281
275 12228
277 12205
298 12039
320 11868
327 11785
342 11672
353 11623
378 11418
389 11352
397 11295
413 11210
419 11163
426 11123
475 10861
505 10711
511 10703
539 10564
574 10394
589 10347
606 10274
623 10199
663 10072
677 10031
707 9923
735 9831
770 9741
801 9717
802 9632
841 9601
842 9524
854 9494
936 9437
1000 9210
1027 9121
1071 9078
1101 8990
1115 8987
1163 8883
1299 8664
1360 8586
1361 8574
1596 8332
1609 8296
1652 8256
1674 8237
1790 8090
1894 7977
1910 7963
1917 7957
1941 7937
2231 7758
2365 7726
2427 7669
2520 7601
2553 7591
2570 7586
2640 7511
2817 7445
2833 7431
2925 7384
3508 7196
3560 7168
3744 7042
3874 7003
4115 6946
4480 6904
4565 6854
5118 6701
5736 6675
5755 6605
5931 6587
5968 6526
5974 6518
7398 6260
7435 6254
7548 6236
7630 6223
7793 6197
7831 6196
7857 6187
7981 6176
8356 6111
8410 6103
8740 6063
9327 5997
9423 5958
9495 5948
9582 5936
10631 5814
10930 5775
10987 5774
11325 5724
11623 5693
11650 5690
12013 5644
12167 5620
12288 5619
12648 5552
12970 5533
13185 5507
13201 5474
13272 5465
13296 5462
13352 5454
13473 5444
13618 5441
14536 5340
14757 5327
15070 5306
15154 5288
15162 5266
15628 5223
16615 5111
17150 5058
17379 5023
17407 5019
17522 5015
17575 4999
17622 4961
17905 4958
17980 4956
18224 4940
18227 4929
18601 4895
19040 4859
19112 4850
19477 4794
19615 4785
20294 4742
20483 4721
20871 4685
21288 4625
21484 4612
21562 4534
21572 4527
21688 4499
21917 4485
22109 4453
22743 4421
22799 4378
23048 4351
23773 4349
23847 4331
24222 4307
24589 4298
24787 4293
25262 4180
25486 4158
25808 4128
26195 4086
26562 4063
26828 4017
27270 3973
27533 3911
27546 3910
27603 3899
27810 3883
28220 3857
28474 3837
28694 3771
29091 3766
29477 3748
29573 3660
30539 3590
30646 3549
30918 3521
31542 3457
31718 3439
32208 3389
32621 3347
32828 3326
33182 3294
33258 3286
33381 3270
33470 3261
34749 3206
35158 3167
35223 3144
35854 3141
36040 3119
36439 3096
36470 2987
36662 2967
37173 2891
37499 2874
37500 2865
37578 2851
38079 2849
38288 2781
38593 2751
39035 2729
39077 2715
39634 2671
39830 2630
40046 2609
40976 2519
41059 2511
41423 2476
41642 2455
41736 2446
42608 2432
43372 2349
43743 2273
43815 2248
44227 2209
44545 2179
44715 2163
44970 2157
45061 2144
45975 2045
46546 1992
46871 1962
47023 1948
48438 1863
48836 1834
48894 1824
48928 1777
49059 1763
49687 1707
50152 1680
50366 1647
50457 1639
51170 1577
51576 1542
52101 1497
52512 1462
52630 1452
52977 1430
53847 1376
54393 1305
54454 1300
54601 1288
54749 1276
55349 1228
55412 1223
55640 1205
55691 1201
56600 1131
56906 1108
57446 1068
58250 1010
58321 1005
58378 1001
58638 983
58770 974
59299 939
59832 906
60483 868
61131 846
62146 786
62267 781
62372 777
62481 773
62633 772
