========= Estatisticas ========= 
Semente utilizada : 4536907
Quantidade de arestas removidas: 312263
Quantidade de arestas obrigatorias = 0
Tempo PreProcessamento (s) = 47
Quantidade de solucoes suportadas = 30
Quantidade de individuos OBTIDOS APOS rmcKruskal = 134
Quantidade de individuos na populacao inicial =  150
Quantidade de solucoes no arquivo inicial =  300
Quantidade de solucoes na primeira fase = 299
Tempo PrimeiraFase(s) = 78.04
Quantidade de solucoes na segunda fase = 300
Tempo SegundaFase(s) = 32.25
Quantidade de solucoes não dominadas que o PR encontrou = 2
Quantiade de avalicoes da funcao objetivo = 555339
Tempo FINAL(s) =  157.29
Resultado : 
0 18702
1 18626
5 18362
6 18312
9 18173
11 18085
14 17959
16 17883
21 17706
22 17672
27 17505
30 17409
32 17347
38 17167
43 17022
47 16913
53 16761
56 16686
61 16566
67 16428
75 16252
78 16189
82 16105
92 15905
104 15677
115 15577
118 15425
127 15300
131 15204
133 15171
149 14915
165 14675
174 14549
183 14423
202 14176
206 14126
216 14007
218 13993
227 13874
248 13643
267 13449
282 13299
291 13213
295 13179
315 13006
330 12887
338 12814
352 12708
368 12596
382 12509
420 12381
422 12251
459 12041
466 11996
500 11846
505 11815
510 11775
548 11617
569 11530
600 11395
643 11210
687 11087
718 10950
720 10944
754 10846
763 10814
806 10723
847 10605
862 10572
1008 10228
1019 10213
1105 10180
1216 9881
1231 9874
1335 9719
1376 9636
1392 9626
1428 9588
1620 9367
1786 9194
1827 9171
2053 8988
2216 8887
2229 8873
2249 8824
2305 8794
2348 8774
2442 8701
2601 8638
2603 8635
2855 8513
3110 8464
3127 8376
3651 8279
3944 8035
4005 8005
4183 7953
4387 7893
4461 7881
4950 7761
5424 7692
5473 7658
5722 7585
5957 7558
6123 7500
6373 7440
6399 7435
6483 7419
6576 7417
7018 7347
7485 7268
7526 7255
7922 7186
8345 7180
9006 7005
9016 7004
9134 6978
9389 6976
9585 6961
9612 6956
10048 6857
10808 6762
10980 6757
11193 6721
11226 6716
11275 6709
12250 6671
12267 6563
12592 6554
12960 6503
13435 6469
13520 6402
14216 6351
14316 6350
14592 6298
15033 6249
15130 6226
15441 6209
15803 6171
16280 6140
16758 6077
17267 6022
17451 5991
17645 5976
17953 5927
18338 5885
18404 5872
18431 5860
18483 5846
18594 5843
18678 5834
18689 5811
19142 5796
19281 5780
19311 5767
19625 5712
20387 5679
20484 5647
20772 5595
21717 5489
22080 5458
22290 5427
22399 5420
22503 5372
22716 5346
22910 5332
22937 5322
23245 5306
23560 5282
23745 5268
23789 5250
23801 5224
24212 5219
24347 5165
25200 5112
25314 5084
25987 5035
26119 5033
26459 5004
26552 4999
27019 4918
27774 4835
27960 4814
28077 4805
28183 4797
28335 4787
28479 4721
28776 4710
28892 4695
28906 4690
28931 4673
29359 4654
29655 4646
30153 4608
30361 4568
30648 4533
31040 4491
31450 4461
32098 4387
32206 4361
32780 4309
33379 4268
33548 4251
33686 4182
33728 4169
33777 4166
33807 4165
34354 4164
34418 4139
34627 4116
34696 4102
34855 4092
35500 4087
35764 4065
35847 3995
36263 3964
36447 3954
36501 3917
37020 3889
37700 3808
38204 3741
38560 3716
38957 3673
39103 3643
39287 3630
39396 3609
39424 3604
39982 3595
40062 3566
40398 3535
40476 3527
40743 3504
40859 3462
41226 3461
41650 3453
42572 3278
43121 3224
43784 3159
44060 3132
44526 3089
45406 3049
45413 3000
45758 2969
45773 2965
46827 2863
47159 2831
47382 2824
47721 2777
48624 2744
48690 2721
49500 2715
49557 2602
49652 2593
50170 2544
50847 2504
50859 2479
51369 2431
52290 2345
52745 2302
53195 2260
53926 2192
54142 2172
54467 2142
54847 2107
55108 2083
57814 1837
57903 1829
58163 1811
58483 1777
59134 1719
59213 1712
59655 1673
59790 1666
60872 1567
60930 1562
61350 1526
61726 1494
61962 1474
63159 1405
63370 1373
63535 1343
64016 1304
64140 1294
64640 1254
64868 1236
65855 1160
66041 1146
66321 1133
66500 1112
66760 1093
67558 1036
68158 1003
68485 974
69109 935
69175 931
70033 893
71408 817
71490 814
71548 812
71610 810
