========= Estatisticas ========= 
Semente utilizada : 3145263
Quantidade de arestas removidas: 497541
Quantidade de arestas obrigatorias = 328
Tempo PreProcessamento (s) = 32.64
Quantidade de solucoes suportadas = 30
Quantidade de individuos OBTIDOS APOS rmcKruskal = 134
Quantidade de individuos na populacao inicial =  150
Quantidade de solucoes no arquivo inicial =  125
Quantidade de solucoes na primeira fase = 258
Tempo PrimeiraFase(s) = 60.93
Quantidade de solucoes na segunda fase = 264
Tempo SegundaFase(s) = 7.04
Quantidade de solucoes não dominadas que o PR encontrou = 6
Quantiade de avalicoes da funcao objetivo = 190915
Tempo FINAL(s) =  100.61
Resultado : 
0 5619
2 5575
7 5470
8 5450
9 5431
11 5395
13 5362
14 5344
17 5296
18 5280
20 5250
25 5180
27 5156
32 5089
33 5078
36 5041
42 4975
47 4920
49 4917
50 4908
52 4894
56 4830
77 4641
79 4624
100 4460
113 4352
115 4337
138 4177
140 4169
150 4096
156 4050
158 4037
186 3922
191 3839
204 3761
208 3739
223 3710
225 3668
233 3650
238 3599
240 3582
261 3480
265 3466
267 3453
271 3424
276 3413
281 3379
284 3366
288 3361
299 3307
308 3274
321 3218
327 3206
329 3195
334 3182
344 3136
349 3115
350 3102
354 3094
356 3081
364 3053
369 3039
370 3033
379 3030
385 3024
389 2987
393 2986
394 2977
395 2973
397 2955
402 2947
405 2939
409 2937
413 2923
415 2915
416 2895
421 2891
422 2877
430 2873
434 2856
435 2842
440 2836
445 2821
448 2814
452 2788
461 2760
470 2736
474 2729
479 2716
484 2701
487 2699
491 2689
492 2686
496 2671
499 2664
502 2657
511 2651
514 2643
516 2642
519 2625
526 2617
532 2602
534 2601
535 2595
540 2591
545 2576
546 2571
552 2566
555 2552
560 2549
564 2543
565 2540
566 2530
567 2529
572 2517
573 2515
574 2513
577 2512
579 2510
583 2500
586 2498
588 2494
590 2484
593 2479
596 2477
598 2476
599 2471
600 2470
602 2459
604 2456
607 2453
610 2442
617 2434
618 2433
619 2432
620 2425
622 2424
624 2413
627 2409
628 2407
629 2404
632 2401
633 2397
636 2393
640 2389
643 2385
644 2384
645 2378
651 2377
652 2373
654 2362
659 2361
661 2360
663 2350
664 2348
669 2344
673 2338
677 2334
678 2332
679 2329
680 2326
681 2325
683 2323
684 2320
687 2317
689 2316
690 2313
692 2305
697 2300
698 2299
707 2284
713 2282
714 2277
717 2275
719 2271
720 2263
728 2257
730 2248
733 2244
739 2243
742 2232
753 2221
756 2219
758 2215
760 2210
763 2207
766 2200
770 2195
774 2192
783 2184
794 2171
797 2170
808 2157
812 2155
821 2144
838 2142
844 2132
849 2125
854 2111
857 2108
863 2102
871 2097
879 2091
901 2076
904 2066
907 2058
915 2055
921 2044
930 2038
938 2036
953 2012
958 2008
962 2005
970 1999
978 1993
995 1987
1002 1978
1025 1966
1038 1955
1055 1950
1056 1941
1060 1940
1074 1931
1076 1929
1081 1927
1090 1922
1121 1907
1136 1899
1149 1894
1151 1892
1163 1886
1192 1873
1228 1862
1237 1855
1239 1852
1241 1849
1244 1845
1251 1842
1268 1837
1271 1834
1281 1831
1301 1824
1305 1823
1309 1822
1316 1819
1322 1817
1329 1816
1345 1814
1370 1801
1378 1799
1406 1792
1418 1789
1431 1786
1439 1784
1457 1782
1462 1778
1480 1776
1483 1774
1497 1771
1506 1770
1509 1769
1518 1768
1521 1767
1528 1766
