========= Estatisticas ========= 
Semente utilizada : 1000161
Quantidade de arestas removidas: 1066
Quantidade de arestas obrigatorias = 5
Tempo PreProcessamento (s) = 0
Quantidade de solucoes suportadas = 30
Quantidade de individuos OBTIDOS APOS rmcKruskal = 134
Quantidade de individuos na populacao inicial =  150
Quantidade de solucoes no arquivo inicial =  121
Quantidade de solucoes na primeira fase = 188
Tempo PrimeiraFase(s) = 5.59
Quantidade de solucoes na segunda fase = 194
Tempo SegundaFase(s) = 0.41
Quantidade de solucoes não dominadas que o PR encontrou = 6
Quantiade de avalicoes da funcao objetivo = 226527
Tempo FINAL(s) =  6
Resultado : 
97 2138
98 2057
99 1994
100 1954
101 1919
102 1903
103 1868
106 1799
108 1754
110 1720
112 1675
113 1662
116 1612
119 1565
123 1504
126 1461
127 1448
130 1407
131 1394
136 1332
141 1273
144 1239
145 1230
146 1220
148 1196
149 1186
154 1160
155 1138
158 1116
163 1078
164 1068
165 1066
167 1065
168 1042
170 1040
172 1037
173 1010
176 992
179 984
181 963
184 952
187 932
188 924
190 913
192 904
194 893
195 892
198 876
199 874
202 862
206 848
210 836
212 831
214 822
219 807
223 793
224 791
228 782
237 776
238 761
243 749
245 746
247 741
251 739
253 735
255 725
256 724
259 717
260 715
261 714
266 708
267 702
272 694
273 692
275 689
277 683
278 681
279 680
281 677
282 675
284 670
285 668
290 661
296 658
297 650
301 647
303 642
309 633
312 631
315 626
321 617
330 615
331 605
333 602
344 591
346 587
350 584
357 576
360 571
364 568
367 563
371 561
373 557
380 549
389 542
390 541
392 540
394 535
401 531
406 523
416 520
421 508
424 505
428 501
436 499
437 498
440 492
447 488
448 487
455 481
459 476
461 474
462 473
468 471
476 470
480 465
481 460
483 456
491 451
499 449
501 448
505 443
508 441
511 439
514 435
515 432
521 431
530 428
531 422
532 421
535 418
541 416
547 414
553 408
557 405
572 401
575 395
582 392
592 386
597 385
606 381
607 379
614 376
623 372
636 371
638 365
645 362
657 358
664 356
678 353
688 344
694 342
709 337
710 336
716 334
747 325
749 323
758 320
786 317
788 312
791 311
794 310
808 307
812 306
823 302
837 299
844 297
847 296
875 295
880 290
899 289
903 287
916 284
936 282
942 280
975 278
981 276
993 275
1006 274
1039 272
1072 271
1084 270
1121 269
1184 268
