========= Estatisticas ========= 
Semente utilizada : 5473810
Quantidade de arestas removidas: 178121
Quantidade de arestas obrigatorias = 82
Tempo PreProcessamento (s) = 6.03
Quantidade de solucoes suportadas = 30
Quantidade de individuos OBTIDOS APOS rmcKruskal = 134
Quantidade de individuos na populacao inicial =  150
Quantidade de solucoes no arquivo inicial =  182
Quantidade de solucoes na primeira fase = 275
Tempo PrimeiraFase(s) = 35.71
Quantidade de solucoes na segunda fase = 282
Tempo SegundaFase(s) = 6.26
Quantidade de solucoes não dominadas que o PR encontrou = 9
Quantiade de avalicoes da funcao objetivo = 252841
Tempo FINAL(s) =  48
Resultado : 
1 8345
2 8284
3 8235
4 8187
5 8141
6 8103
7 8051
8 8007
9 7964
10 7922
11 7884
12 7849
13 7815
15 7749
16 7717
19 7679
20 7593
23 7503
24 7474
26 7418
30 7310
33 7232
39 7082
45 6938
48 6869
51 6803
53 6770
56 6698
57 6680
59 6638
63 6558
65 6519
68 6508
71 6405
76 6368
82 6207
86 6137
91 6052
93 6024
106 5812
108 5781
117 5646
125 5534
134 5408
136 5381
145 5307
154 5147
156 5122
167 4997
174 4906
178 4860
190 4729
196 4662
198 4641
201 4636
208 4623
210 4610
211 4541
216 4461
219 4435
220 4423
222 4406
225 4389
226 4370
238 4261
240 4244
247 4188
250 4165
257 4108
261 4078
271 4008
276 3973
280 3953
282 3934
285 3915
292 3888
303 3877
304 3801
312 3791
321 3716
327 3663
330 3657
333 3640
335 3634
336 3612
352 3524
357 3519
358 3492
366 3456
380 3446
387 3357
391 3328
398 3310
400 3282
406 3254
410 3242
422 3201
424 3173
427 3160
429 3159
435 3151
438 3120
443 3113
452 3060
454 3056
455 3051
459 3043
468 3029
472 2980
484 2936
487 2925
495 2897
499 2883
506 2872
507 2857
511 2853
513 2847
515 2827
530 2777
537 2762
549 2749
551 2717
558 2715
564 2675
571 2668
577 2656
585 2618
589 2610
591 2594
600 2582
603 2560
607 2555
608 2546
612 2535
616 2524
619 2516
625 2505
628 2492
631 2489
634 2481
635 2480
637 2474
654 2430
659 2416
669 2414
671 2409
677 2391
679 2382
680 2362
688 2360
690 2344
697 2323
701 2313
706 2302
711 2293
725 2273
730 2262
733 2254
736 2252
744 2229
747 2227
756 2204
757 2200
763 2194
771 2176
774 2169
786 2158
789 2154
791 2144
797 2120
803 2108
808 2099
816 2085
824 2084
825 2073
830 2069
837 2050
842 2047
844 2046
845 2045
852 2035
855 2034
863 2015
871 2010
878 2009
879 1989
885 1983
889 1979
898 1965
904 1963
905 1948
911 1945
915 1940
922 1934
924 1923
934 1918
942 1905
955 1883
956 1880
972 1860
980 1850
985 1844
997 1832
1000 1829
1014 1816
1024 1812
1030 1800
1040 1797
1046 1788
1056 1777
1068 1761
1083 1746
1096 1736
1119 1710
1127 1703
1140 1689
1149 1681
1157 1674
1163 1672
1164 1669
1177 1662
1187 1650
1209 1637
1217 1631
1219 1626
1226 1621
1251 1609
1253 1603
1273 1590
1284 1583
1295 1579
1301 1571
1312 1564
1329 1554
1352 1540
1361 1535
1394 1525
1396 1518
1401 1515
1407 1513
1415 1508
1446 1494
1451 1490
1497 1467
1509 1461
1521 1456
1523 1455
1535 1453
1548 1445
1564 1439
1594 1430
1599 1428
1604 1426
1630 1417
1654 1411
1690 1397
1700 1394
1707 1393
1712 1391
1733 1388
1749 1380
1788 1379
1797 1368
1813 1364
1822 1362
1864 1358
1872 1352
1878 1351
1922 1342
1933 1340
1952 1337
1975 1333
1995 1331
2003 1329
2019 1327
2036 1326
2043 1324
2052 1323
2072 1321
2105 1318
2117 1317
2131 1316
