========= Estatisticas ========= 
Semente utilizada : 472868
Quantidade de arestas removidas: 41335
Quantidade de arestas obrigatorias = 0
Tempo PreProcessamento (s) = 2.27
Quantidade de solucoes suportadas = 30
Quantidade de individuos OBTIDOS APOS rmcKruskal = 134
Quantidade de individuos na populacao inicial =  150
Quantidade de solucoes no arquivo inicial =  300
Quantidade de solucoes na primeira fase = 300
Tempo PrimeiraFase(s) = 45.23
Quantidade de solucoes na segunda fase = 300
Tempo SegundaFase(s) = 11.67
Quantidade de solucoes não dominadas que o PR encontrou = 7
Quantiade de avalicoes da funcao objetivo = 1022267
Tempo FINAL(s) =  59.17
Resultado : 
21 16092
22 16029
23 15969
24 15910
25 15852
28 15681
29 15625
30 15573
32 15473
35 15338
39 15165
43 14997
45 14915
48 14795
52 14643
54 14569
58 14425
60 14355
66 14159
67 14117
70 14018
75 13858
80 13703
81 13674
82 13643
84 13585
92 13365
95 13287
97 13237
100 13198
101 13141
107 13006
117 12797
122 12697
128 12581
134 12473
136 12446
152 12186
155 12175
156 12130
164 12025
173 11921
179 11845
183 11804
196 11680
197 11663
200 11635
223 11434
224 11418
249 11211
252 11188
261 11121
294 10929
321 10741
352 10600
361 10595
373 10527
385 10455
398 10414
407 10385
420 10374
442 10281
536 10110
550 10004
575 9956
624 9832
644 9797
668 9752
721 9645
823 9513
825 9512
847 9485
854 9477
861 9469
904 9455
930 9451
940 9396
1000 9355
1074 9260
1085 9257
1402 9002
1536 8912
1574 8888
1587 8880
1741 8833
1749 8825
1848 8730
2059 8680
2099 8627
2159 8618
2228 8540
2310 8501
2344 8485
2426 8447
2525 8402
2837 8269
2839 8263
2961 8228
3073 8164
3095 8155
3142 8144
3175 8124
3279 8111
3292 8076
3389 8038
3454 8023
3472 8012
3494 7999
3683 7925
4017 7905
4037 7806
4088 7778
4351 7691
4379 7673
4761 7540
4927 7483
4968 7469
5015 7453
5043 7451
5315 7447
5610 7298
5816 7266
5822 7257
5876 7218
5937 7206
5960 7179
5991 7168
6000 7124
6501 7052
6559 7009
6641 6964
6732 6951
6758 6940
6779 6925
6937 6867
7180 6769
7187 6765
7205 6759
7255 6749
7282 6739
7306 6717
7468 6662
7553 6640
7619 6626
7722 6598
7750 6591
8201 6436
8331 6414
8374 6394
8485 6355
8513 6344
8592 6324
8652 6310
8663 6301
8675 6270
8724 6253
8788 6247
9180 6140
9188 6139
9409 6061
9425 6058
9477 6045
9495 6034
9575 6011
10028 5881
10044 5876
10073 5864
10074 5863
10180 5830
10311 5754
10453 5751
10504 5749
10532 5721
10597 5716
10697 5688
10813 5645
11267 5495
11342 5474
11477 5431
11683 5386
11699 5382
11791 5343
11893 5266
11981 5239
12056 5216
12283 5207
12342 5170
12421 5142
12592 5111
12701 5048
12880 5002
13170 4906
13211 4900
13285 4895
13309 4884
13313 4873
13403 4853
13523 4815
13554 4814
13559 4807
13570 4788
13585 4783
13737 4742
13841 4706
14109 4681
14295 4603
14425 4547
14593 4508
14627 4492
14695 4461
14818 4438
14911 4371
14951 4341
15125 4289
15202 4266
15269 4246
15497 4178
15853 4072
15994 4064
16109 4055
16284 4031
16304 3938
16501 3887
16574 3858
16682 3850
16760 3803
16882 3767
17075 3761
17116 3698
17659 3584
17670 3535
17745 3513
17919 3462
18062 3429
18470 3301
18635 3253
18721 3228
18876 3183
18945 3163
19059 3130
19142 3106
19267 3071
19367 3041
19575 2981
19799 2921
19810 2914
19811 2913
19877 2894
19950 2873
20124 2823
20651 2736
20676 2724
20770 2696
21129 2536
21235 2506
21313 2484
21429 2479
21537 2421
21687 2384
21780 2353
22101 2264
22275 2216
22373 2189
22464 2164
22526 2147
22779 2090
22893 2047
23004 2017
23108 1989
23190 1967
23618 1853
23893 1781
24070 1735
24101 1727
24136 1718
24214 1698
24257 1687
24304 1675
24723 1621
24856 1559
24933 1518
24970 1509
25028 1495
25298 1431
25467 1392
25666 1364
25731 1333
25837 1310
25911 1298
26223 1233
26286 1222
26588 1167
26671 1152
26696 1148
26760 1139
26932 1127
27035 1101
27150 1099
27294 1076
27497 1059
