========= Estatisticas ========= 
Semente utilizada : 8978356
Quantidade de arestas removidas: 907
Quantidade de arestas obrigatorias = 0
Tempo PreProcessamento (s) = 0.01
Quantidade de solucoes suportadas = 30
Quantidade de individuos OBTIDOS APOS rmcKruskal = 134
Quantidade de individuos na populacao inicial =  150
Quantidade de solucoes no arquivo inicial =  188
Quantidade de solucoes na primeira fase = 300
Tempo PrimeiraFase(s) = 23
Quantidade de solucoes na segunda fase = 300
Tempo SegundaFase(s) = 1.15
Quantidade de solucoes não dominadas que o PR encontrou = 20
Quantiade de avalicoes da funcao objetivo = 384577
Tempo FINAL(s) =  24.16
Resultado : 
110 3442
111 3413
113 3356
114 3329
117 3260
118 3239
121 3178
122 3158
124 3135
125 3102
127 3067
128 3047
129 3032
132 2992
134 2967
136 2944
138 2926
144 2876
146 2864
149 2863
150 2827
156 2781
158 2767
167 2720
168 2698
176 2650
178 2632
180 2619
187 2584
201 2531
205 2494
215 2458
216 2441
226 2394
236 2348
240 2330
253 2284
255 2263
261 2239
265 2229
266 2223
269 2216
278 2182
281 2172
292 2138
296 2130
300 2116
305 2104
306 2095
308 2089
310 2087
318 2061
327 2036
329 2033
340 2000
345 1987
353 1970
357 1962
361 1947
366 1936
372 1923
381 1913
386 1893
391 1883
395 1879
403 1866
409 1853
411 1845
420 1830
432 1820
437 1809
438 1799
451 1778
466 1756
475 1743
478 1739
484 1730
489 1723
493 1717
496 1714
499 1711
514 1688
523 1675
531 1666
541 1654
543 1652
554 1641
564 1630
567 1622
575 1613
581 1606
589 1597
596 1592
598 1587
602 1584
607 1578
611 1575
615 1571
616 1569
627 1568
629 1559
633 1556
642 1551
646 1544
654 1540
657 1535
674 1522
680 1518
690 1510
700 1503
714 1501
724 1498
732 1495
734 1486
739 1477
755 1468
775 1457
788 1447
794 1446
815 1431
826 1430
832 1423
836 1420
838 1418
852 1410
861 1405
864 1403
872 1400
882 1393
890 1392
899 1384
925 1371
942 1361
959 1352
980 1341
995 1340
996 1333
1020 1327
1024 1324
1045 1316
1055 1309
1057 1303
1068 1302
1071 1298
1081 1292
1100 1287
1104 1280
1127 1273
1144 1266
1151 1263
1172 1247
1190 1246
1195 1236
1204 1232
1225 1225
1228 1221
1237 1217
1252 1216
1259 1210
1287 1200
1293 1193
1294 1192
1303 1188
1314 1187
1343 1186
1345 1174
1359 1164
1395 1161
1398 1157
1412 1155
1413 1150
1415 1145
1435 1140
1447 1131
1451 1126
1455 1124
1469 1119
1484 1115
1487 1111
1503 1108
1505 1104
1519 1099
1537 1096
1549 1087
1567 1082
1586 1075
1589 1074
1613 1067
1621 1061
1629 1057
1649 1052
1683 1037
1686 1036
1697 1034
1705 1029
1729 1026
1740 1016
1759 1009
1780 1007
1792 1004
1804 1000
1810 991
1822 987
1849 982
1872 972
1891 963
1920 959
1952 948
1971 936
2009 930
2011 927
2028 917
2072 910
2085 904
2091 903
2100 901
2107 891
2126 887
2132 885
2137 883
2163 881
2178 868
2206 859
2246 858
2258 856
2261 845
2286 840
2291 832
2318 830
2326 821
2349 820
2370 817
2381 811
2396 799
2424 797
2428 795
2464 790
2472 787
2477 774
2503 766
2532 764
2540 760
2565 757
2576 756
2578 743
2627 735
2640 724
2660 718
2663 717
2726 698
2754 693
2766 686
2793 678
2858 674
2864 657
2881 652
2901 650
2905 645
2959 634
2967 627
3009 615
3055 602
3075 597
3090 594
3126 582
3177 568
3199 562
3257 550
3280 540
3299 538
3323 529
3370 517
3425 515
3433 501
3500 484
3550 472
3606 462
3608 461
3630 453
3664 445
3677 442
3721 432
3771 421
3803 420
3813 412
3859 405
3861 402
3866 401
3889 397
3907 393
3937 389
3943 386
3984 379
4031 373
4050 369
4078 365
4094 363
4114 361
4169 358
4192 357
