========= Estatisticas ========= 
Semente utilizada : 7422970
Quantidade de arestas removidas: 170783
Quantidade de arestas obrigatorias = 0
Tempo PreProcessamento (s) = 26
Quantidade de solucoes suportadas = 30
Quantidade de individuos OBTIDOS APOS rmcKruskal = 134
Quantidade de individuos na populacao inicial =  150
Quantidade de solucoes no arquivo inicial =  300
Quantidade de solucoes na primeira fase = 300
Tempo PrimeiraFase(s) = 60.26
Quantidade de solucoes na segunda fase = 300
Tempo SegundaFase(s) = 34.74
Quantidade de solucoes não dominadas que o PR encontrou = 7
Quantiade de avalicoes da funcao objetivo = 1009461
Tempo FINAL(s) =  121
Resultado : 
1 25663
10 25231
13 25128
14 25098
18 24969
19 24939
25 24769
28 24688
29 24662
35 24514
40 24399
51 24164
60 23991
64 23904
75 23695
84 23533
109 23122
111 23091
119 22971
122 22939
133 22777
156 22509
181 22215
185 22152
191 22089
215 21852
239 21671
265 21490
275 21347
286 21339
296 21201
298 21192
327 21057
358 20833
404 20617
423 20545
446 20430
455 20423
492 20249
508 20192
554 20059
562 20050
563 20017
634 19819
750 19526
756 19521
809 19483
849 19445
956 19125
992 19108
1272 18725
1347 18584
1410 18533
1476 18496
1522 18477
1599 18350
1777 18165
1849 18105
1860 18096
1944 18069
2167 17881
2332 17814
2919 17408
2998 17405
3102 17317
3158 17295
3258 17270
3304 17215
3415 17160
3432 17152
3447 17145
3525 17109
3708 17026
3961 16914
4299 16769
4412 16767
4479 16694
4547 16666
4989 16489
5012 16480
5120 16438
5297 16379
5315 16363
5760 16286
5978 16115
6308 15995
6856 15800
6893 15787
7053 15731
7619 15651
7985 15439
8096 15401
8334 15381
8773 15241
8785 15238
8847 15225
8859 15218
8865 15216
8928 15178
9072 15085
9372 14991
9383 14962
9780 14886
9921 14769
10151 14694
10280 14652
10400 14613
10783 14489
11044 14407
11155 14369
11407 14323
11494 14260
11572 14235
11673 14209
11697 14199
11816 14174
11922 14123
12016 14093
12085 14071
12526 14038
12893 13864
13391 13781
13448 13647
13729 13585
13865 13533
14081 13446
14540 13346
14642 13272
15339 13088
15744 12975
15824 12935
15845 12932
15944 12901
15968 12872
16126 12801
16190 12784
16489 12774
16976 12597
17033 12569
17268 12509
17344 12501
17535 12432
17578 12398
18113 12249
18374 12186
18560 12142
18693 12075
18754 12067
18935 11966
18975 11918
19069 11889
19264 11846
19366 11821
20947 11389
21049 11361
21095 11336
21140 11329
21145 11323
21161 11320
21264 11286
21399 11244
21535 11204
21567 11177
21628 11176
21854 11104
21892 11099
21897 11092
22320 10961
22361 10948
22571 10890
22967 10770
22978 10767
23013 10761
23031 10745
23054 10733
23249 10682
23894 10408
24003 10390
24162 10362
24366 10264
24448 10239
24879 10219
25182 10128
25387 10044
25397 10031
25678 9989
26437 9729
26467 9634
26800 9628
26817 9622
26873 9595
27050 9566
27388 9486
27990 9299
28262 9209
28274 9078
28370 9049
28764 9035
28809 9034
28827 8969
29225 8791
29535 8731
29590 8681
29673 8656
29932 8608
29962 8572
30725 8461
30799 8446
30945 8402
31004 8367
31091 8316
31500 8170
31719 8110
31771 8094
31792 8088
31852 8068
32083 7933
32431 7829
32508 7806
32977 7666
33148 7615
33748 7560
33806 7419
34478 7219
35070 7155
35181 7010
35501 6915
35592 6888
36345 6678
36591 6592
37017 6466
37589 6297
38016 6171
38250 6102
38440 6046
39226 6000
39430 5925
39598 5838
39704 5787
39800 5646
40025 5580
40373 5478
40947 5310
41272 5215
42113 5000
42208 4942
42603 4827
43098 4683
43346 4611
43484 4571
43788 4483
44058 4405
44318 4330
44672 4228
44804 4190
45096 4106
45183 4081
45679 3978
46900 3862
46933 3581
47000 3564
47007 3560
47074 3541
47194 3507
47406 3447
47544 3408
47934 3298
48102 3252
48304 3194
48790 3058
48851 3041
49384 2893
49553 2856
49616 2829
49710 2820
49720 2805
49769 2792
49816 2774
50316 2649
50757 2518
51043 2441
51084 2430
51444 2334
51527 2312
51793 2242
52162 2146
52255 2122
52720 2028
53302 1892
53570 1794
53654 1774
53769 1747
54325 1639
54457 1592
54784 1530
55604 1405
56451 1265
56466 1264
56500 1262
56548 1261
