========= Estatisticas ========= 
Semente utilizada : 8349870
Quantidade de arestas removidas: 495718
Quantidade de arestas obrigatorias = 24
Tempo PreProcessamento (s) = 53.52
Quantidade de solucoes suportadas = 30
Quantidade de individuos OBTIDOS APOS rmcKruskal = 134
Quantidade de individuos na populacao inicial =  150
Quantidade de solucoes no arquivo inicial =  292
Quantidade de solucoes na primeira fase = 300
Tempo PrimeiraFase(s) = 82.33
Quantidade de solucoes na segunda fase = 300
Tempo SegundaFase(s) = 15.15
Quantidade de solucoes não dominadas que o PR encontrou = 3
Quantiade de avalicoes da funcao objetivo = 471132
Tempo FINAL(s) =  151
Resultado : 
1000 18957
1001 18885
1002 18820
1003 18758
1005 18638
1007 18526
1010 18361
1012 18253
1014 18147
1015 18096
1016 18045
1017 17996
1022 17756
1023 17710
1025 17620
1026 17576
1029 17447
1032 17321
1035 17198
1037 17118
1044 16845
1047 16731
1050 16620
1054 16476
1058 16336
1064 16132
1065 16114
1069 15967
1077 15711
1083 15651
1086 15432
1092 15252
1101 15066
1102 14962
1109 14766
1121 14442
1130 14208
1136 14058
1144 13858
1151 13690
1166 13345
1174 13169
1192 12836
1193 12770
1197 12695
1202 12682
1203 12570
1228 12095
1245 11789
1247 11754
1259 11701
1270 11363
1272 11332
1294 10979
1317 10634
1321 10576
1335 10382
1343 10268
1347 10214
1360 10170
1365 10125
1368 9941
1376 9841
1385 9743
1394 9625
1402 9533
1420 9337
1427 9258
1429 9237
1457 8957
1458 8951
1459 8938
1495 8617
1503 8542
1509 8491
1549 8188
1575 8009
1577 7980
1582 7951
1586 7917
1604 7802
1614 7719
1626 7634
1642 7617
1648 7502
1693 7233
1707 7222
1742 7079
1751 6979
1761 6929
1769 6885
1772 6878
1795 6714
1808 6703
1824 6614
1831 6608
1854 6474
1867 6425
1884 6360
1915 6246
1965 6095
1971 6072
1976 6021
1986 5971
2014 5890
2055 5763
2066 5757
2067 5755
2072 5751
2080 5748
2097 5666
2101 5662
2105 5646
2125 5554
2151 5527
2182 5405
2189 5395
2234 5275
2278 5196
2326 5080
2346 5036
2371 4990
2429 4870
2437 4852
2449 4825
2474 4782
2499 4744
2527 4694
2588 4597
2623 4544
2664 4518
2692 4481
2705 4425
2725 4398
2759 4387
2783 4384
2813 4301
2848 4269
2888 4210
2980 4157
3022 4099
3124 4041
3156 4013
3165 3994
3186 3932
3260 3921
3261 3881
3308 3870
3334 3837
3357 3816
3375 3770
3460 3753
3526 3731
3572 3637
3608 3607
3628 3573
3751 3532
3798 3385
3816 3384
3821 3337
3849 3316
3851 3280
3877 3267
4041 3102
4108 3038
4114 3020
4117 3006
4141 3003
4157 2976
4162 2969
4216 2937
4233 2894
4256 2869
4331 2839
4346 2830
4361 2829
4364 2748
4452 2677
4460 2668
4528 2618
4569 2598
4629 2565
4668 2530
4710 2513
4799 2444
4890 2388
4916 2374
4936 2364
4951 2356
5050 2344
5222 2236
5306 2221
5318 2186
5321 2178
5327 2173
5350 2171
5445 2146
5451 2123
5547 2085
5555 2082
5619 2075
5680 2041
5779 2007
5876 1985
5915 1963
5952 1950
6009 1937
6110 1906
6162 1892
6347 1843
6492 1825
6546 1794
6601 1790
6819 1747
6827 1735
6920 1714
6976 1703
7106 1677
7192 1662
7245 1652
7383 1629
7581 1596
7612 1591
7648 1587
7696 1578
7736 1572
7921 1555
7933 1546
8037 1529
8127 1517
8150 1514
8232 1504
8518 1468
8586 1460
8830 1434
8847 1431
8904 1425
9264 1389
9285 1387
9396 1377
9615 1357
9707 1349
9791 1342
9875 1335
9900 1333
10160 1313
10187 1311
10369 1298
10495 1289
10553 1285
10898 1262
10929 1260
11153 1246
11408 1231
11443 1229
11731 1213
12187 1189
12307 1183
12427 1177
12742 1162
12785 1160
13005 1150
13212 1141
13476 1130
13703 1129
13726 1120
13802 1118
13908 1113
14205 1102
14373 1096
14634 1087
14784 1082
15094 1072
15158 1070
15422 1062
15536 1059
15626 1056
15801 1051
15945 1047
16204 1040
16280 1038
16319 1037
16439 1034
16767 1026
16809 1025
16941 1022
16986 1021
17032 1020
17126 1018
17174 1017
17370 1013
17420 1012
17471 1011
17523 1010
17633 1008
17691 1007
17750 1006
17874 1004
17940 1003
18017 1002
