========= Estatisticas ========= 
Semente utilizada : 7949381
Quantidade de arestas removidas: 497541
Quantidade de arestas obrigatorias = 328
Tempo PreProcessamento (s) = 30.98
Quantidade de solucoes suportadas = 30
Quantidade de individuos OBTIDOS APOS rmcKruskal = 134
Quantidade de individuos na populacao inicial =  150
Quantidade de solucoes no arquivo inicial =  116
Quantidade de solucoes na primeira fase = 258
Tempo PrimeiraFase(s) = 61
Quantidade de solucoes na segunda fase = 264
Tempo SegundaFase(s) = 6.83
Quantidade de solucoes não dominadas que o PR encontrou = 9
Quantiade de avalicoes da funcao objetivo = 194450
Tempo FINAL(s) =  98.81
Resultado : 
0 5619
2 5575
7 5470
8 5450
9 5431
11 5395
13 5376
14 5344
18 5280
20 5250
23 5208
25 5180
29 5132
32 5089
36 5041
38 5025
39 5015
43 5008
47 4920
48 4915
50 4914
56 4830
71 4697
77 4641
79 4624
109 4384
113 4352
115 4337
116 4330
130 4319
148 4237
156 4050
158 4037
173 3994
180 3908
184 3886
192 3882
193 3873
202 3807
204 3761
208 3739
230 3682
236 3599
240 3594
241 3593
248 3540
262 3474
271 3424
276 3408
278 3394
281 3379
284 3366
287 3362
290 3355
296 3334
298 3311
310 3310
311 3262
312 3257
315 3246
318 3230
330 3182
337 3157
346 3148
348 3121
350 3102
352 3096
356 3090
360 3089
362 3084
364 3053
370 3033
375 3031
385 3027
387 3003
391 2994
392 2991
394 2987
395 2964
403 2946
406 2925
409 2916
418 2904
421 2883
428 2879
429 2859
431 2856
437 2851
438 2833
443 2814
445 2808
450 2805
455 2780
456 2776
458 2770
459 2767
461 2760
468 2752
469 2739
470 2736
474 2729
478 2719
482 2709
484 2701
490 2693
493 2681
496 2671
501 2661
502 2657
509 2654
511 2651
514 2643
520 2639
521 2624
526 2615
532 2607
534 2601
535 2591
540 2581
545 2573
549 2570
551 2569
552 2565
554 2561
556 2560
557 2557
560 2555
561 2546
565 2545
567 2539
569 2523
575 2520
577 2516
579 2514
580 2510
581 2505
583 2496
587 2494
589 2491
591 2490
592 2482
595 2480
598 2475
600 2468
601 2467
603 2462
605 2451
606 2450
611 2439
616 2438
618 2429
619 2423
622 2417
624 2413
629 2404
631 2402
633 2397
635 2394
644 2385
646 2381
652 2366
654 2362
661 2360
662 2353
663 2351
669 2344
672 2342
673 2340
675 2338
676 2335
681 2331
687 2313
688 2311
691 2309
697 2307
699 2302
703 2296
704 2290
715 2277
717 2272
722 2268
724 2257
726 2254
730 2248
735 2247
744 2236
745 2232
752 2225
755 2219
760 2212
761 2211
764 2206
766 2200
770 2195
785 2182
786 2180
793 2173
800 2165
809 2157
816 2153
817 2152
838 2149
842 2129
846 2126
848 2117
858 2110
862 2103
863 2102
868 2101
873 2092
890 2075
900 2071
927 2062
928 2052
931 2042
940 2025
953 2012
958 2008
964 2007
966 2002
978 1993
986 1989
1001 1983
1006 1982
1020 1965
1041 1962
1046 1950
1056 1941
1076 1929
1098 1918
1127 1907
1134 1900
1152 1892
1166 1888
1170 1883
1185 1876
1226 1875
1238 1848
1241 1847
1244 1845
1251 1842
1261 1838
1266 1836
1271 1834
1283 1833
1286 1829
1319 1818
1322 1817
1344 1813
1368 1809
1370 1801
1386 1797
1403 1793
1414 1790
1446 1782
1462 1778
1479 1775
1487 1773
1492 1772
1497 1771
1510 1769
1516 1768
1521 1767
1528 1766
