========= Estatisticas ========= 
Semente utilizada : 3136140
Quantidade de arestas removidas: 178356
Quantidade de arestas obrigatorias = 137
Tempo PreProcessamento (s) = 4.8
Quantidade de solucoes suportadas = 30
Quantidade de individuos OBTIDOS APOS rmcKruskal = 134
Quantidade de individuos na populacao inicial =  150
Quantidade de solucoes no arquivo inicial =  135
Quantidade de solucoes na primeira fase = 266
Tempo PrimeiraFase(s) = 32.6
Quantidade de solucoes na segunda fase = 268
Tempo SegundaFase(s) = 4.6
Quantidade de solucoes não dominadas que o PR encontrou = 2
Quantiade de avalicoes da funcao objetivo = 220147
Tempo FINAL(s) =  42
Resultado : 
3 6108
4 6071
5 6035
6 6005
8 5947
9 5920
12 5842
14 5792
18 5696
20 5664
25 5535
29 5509
30 5425
33 5362
38 5267
39 5242
43 5166
46 5141
47 5094
50 5072
55 4958
56 4946
58 4928
60 4924
63 4830
71 4710
77 4632
84 4528
94 4408
96 4372
100 4322
103 4310
104 4277
114 4154
121 4146
124 4072
125 4057
126 4024
127 4018
132 3956
134 3952
145 3826
147 3806
153 3792
160 3786
161 3742
165 3655
170 3603
171 3602
174 3563
177 3536
178 3527
182 3493
192 3413
196 3381
198 3365
199 3360
204 3320
210 3283
211 3282
214 3252
217 3250
218 3249
219 3227
220 3226
223 3187
225 3181
227 3175
229 3160
231 3142
233 3122
235 3109
238 3090
241 3076
244 3057
249 3055
253 3042
255 3003
257 2990
259 2971
261 2955
263 2952
269 2942
272 2910
273 2880
279 2875
281 2836
286 2825
291 2814
293 2797
294 2785
295 2766
298 2761
300 2748
301 2746
306 2738
308 2701
314 2684
320 2647
323 2634
324 2630
330 2606
332 2602
333 2598
335 2591
339 2570
342 2559
344 2557
345 2548
346 2543
350 2531
353 2520
355 2516
358 2505
361 2482
364 2473
367 2460
371 2447
373 2437
375 2435
376 2432
377 2425
378 2420
379 2415
383 2412
384 2405
385 2396
387 2388
389 2383
390 2379
393 2369
395 2365
397 2352
400 2349
401 2338
404 2328
408 2327
409 2317
413 2306
416 2297
417 2296
418 2294
420 2287
421 2278
423 2274
429 2259
432 2250
433 2241
434 2238
442 2227
445 2216
447 2215
448 2207
450 2194
456 2191
459 2163
462 2157
474 2136
475 2132
476 2123
484 2102
485 2098
490 2091
494 2077
497 2074
513 2065
518 2035
524 2033
527 2016
529 2007
534 2001
538 1998
540 1990
544 1989
545 1975
548 1970
563 1941
565 1938
570 1932
571 1923
577 1919
584 1905
585 1896
588 1889
591 1885
592 1882
595 1878
600 1869
603 1865
610 1852
613 1848
624 1846
628 1825
633 1821
643 1808
652 1795
654 1794
658 1780
668 1766
680 1757
690 1739
697 1730
698 1726
702 1723
707 1716
708 1715
710 1711
715 1705
719 1702
736 1685
758 1678
765 1662
775 1646
780 1645
785 1635
788 1632
805 1618
812 1613
820 1606
823 1599
827 1593
842 1578
843 1577
851 1570
855 1565
862 1559
874 1551
877 1547
885 1544
896 1535
897 1532
909 1526
925 1517
939 1504
948 1498
958 1492
965 1488
973 1486
981 1482
983 1479
1001 1470
1008 1467
1017 1462
1029 1456
1039 1454
1049 1448
1061 1446
1064 1445
1068 1443
1082 1440
1097 1432
1107 1430
1126 1428
1127 1424
1130 1423
1133 1420
1144 1419
1147 1416
1173 1414
1175 1409
1194 1405
1204 1403
1210 1402
1211 1400
1231 1396
1246 1394
1249 1393
1256 1392
